Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
tgb,express 50,2010,Scooter,49.0,4.9,6.8,105.0,760.0,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,express 50,2011,Scooter,49.0,4.9,6.8,105.0,760.0,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,express 50,2012,Scooter,49.3,4.9,6.8,105.0,,,Unknown,Belt,Automatic, two-stroke,Single cylinder
tgb,f 409,2006,Scooter,49.3,4.9,6.3,94.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
tgb,f409,2007,Scooter,49.3,4.9,6.8,94.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,f409 (125cc),2007,Scooter,124.0,8.6,6.8,107.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,f409 (150cc),2007,Scooter,151.0,10.1,6.8,117.0,,,Oil & air,Belt,Automatic, four-stroke,Single cylinder
tgb,f409 125,2008,Scooter,124.0,8.6,6.8,107.0,790.0,,Air,Unknown,Unknown, four-stroke,Single cylinder
tgb,gunner 550,2012,ATV,502.6,18.9,15.0,330.0,920.0,31.6,Unknown,Shaft drive,Automatic, four-stroke,Single cylinder
tgb,hawk 125,2008,Scooter,124.0,,6.8,111.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,hawk 125,2010,Scooter,124.0,7.5,6.8,110.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
tgb,hawk 50,2008,Scooter,49.0,4.9,6.8,92.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
tgb,hawk 50,2010,Scooter,49.0,4.9,6.8,92.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,hawk 50,2012,Scooter,49.0,4.9,6.8,92.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,hook 125,2011,Scooter,124.6,8.6,6.8,111.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,hook 50,2011,Scooter,49.3,4.7,6.8,92.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,key west 50,2020,Scooter,49.3,1.9,6.8,94.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,keywest,2008,Scooter,49.3,4.9,,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,laser,2006,Scooter,151.0,8.6,6.8,107.0,,,Oil & air,Belt,Automatic, four-stroke,Single cylinder
tgb,laser,2007,Scooter,49.3,4.9,6.8,86.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,laser (125cc),2007,Scooter,124.0,8.6,6.8,105.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,laser (150cc),2007,Scooter,151.0,10.1,6.8,107.0,,,Oil & air,Belt,Automatic, four-stroke,Single cylinder
tgb,laser 303r special edition #01 49cc,2005,Scooter,49.3,4.9,4.92,91.6,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,laser r5 49,2008,Scooter,49.3,4.9,,122.0,,,Unknown,Belt,Automatic, four-stroke,Single cylinder
